# Existing direct encoding/json function calls.
#
# AGENTS.md requires business code to use common/json.go wrappers for JSON
# marshal/unmarshal operations. This baseline freezes existing call sites
# so new direct calls fail CI while old code is migrated incrementally.
#
# Format: <path>|<enclosing function>|<json selector>|<sha256(normalized call)>
relay/channel/baidu/relay-baidu.go|getBaiduAccessTokenHelper|NewDecoder|64ee82d1a886a8c84d5771d6a7733571f892d8b735ff5b5ffa0167dc5f1ecb39
relay/channel/claude/relay-claude.go|ResponseClaude2OpenAI|Marshal|9f23cc0eecff96adc0410bf3360508a44815f9bc18567a76278a14aaa6e46e0a
relay/channel/claude/relay-claude.go|HandleClaudeResponseData|Marshal|0e01a2a781af1a773195f919e8bc2c53345aed7dd99776d98cfe550576ea831a
relay/channel/cloudflare/relay_cloudflare.go|cfStreamHandler|Unmarshal|5a9c4fba44410fd4d5ee918ce49cdd49a713d756c491be89ccc2d9f3de44cdc5
relay/channel/cloudflare/relay_cloudflare.go|cfHandler|Unmarshal|6cdcb804136134bca298d812448f98d0bd614a3f817abe33a9bd3a1f5d30e07f
relay/channel/cloudflare/relay_cloudflare.go|cfHandler|Marshal|168eb97ce25654c31be502868a95131c40bf62f506fa17dca8eec1cd5263b090
relay/channel/cloudflare/relay_cloudflare.go|cfSTTHandler|Unmarshal|113b887f4b535a35fabbb09c58da6e91e72216445b257aaa5a60ea85f9a78b92
relay/channel/cloudflare/relay_cloudflare.go|cfSTTHandler|Marshal|49e41038fab83f81a36dc42be0e11844258b971509e090697a039d969b4c7e83
relay/channel/cohere/relay-cohere.go|cohereStreamHandler|Unmarshal|540c656aaf93bfaec57b6796515084756197ba3ed24d226058623269579f2874
relay/channel/cohere/relay-cohere.go|cohereStreamHandler|Marshal|e835663a563231e050ffc86f98edc0d4ea411076890252d835d77715185f6317
relay/channel/cohere/relay-cohere.go|cohereHandler|Unmarshal|60f8972547f5094bf2b8ef4f8aee5478f66cbaec849d110427da197c8f20a177
relay/channel/cohere/relay-cohere.go|cohereHandler|Marshal|e835663a563231e050ffc86f98edc0d4ea411076890252d835d77715185f6317
relay/channel/cohere/relay-cohere.go|cohereRerankHandler|Unmarshal|60f8972547f5094bf2b8ef4f8aee5478f66cbaec849d110427da197c8f20a177
relay/channel/cohere/relay-cohere.go|cohereRerankHandler|Marshal|7175c817a0dede230ae6b179388d06512cf9cc2c1d598aafa1b52cf3a52c7ad7
relay/channel/coze/adaptor.go|*Adaptor.DoRequest|Unmarshal|4a81d986450fdd36e06fe6b2f0daa87bb14ba3753e1b988d9f1de193ad0f19ed
relay/channel/coze/relay-coze.go|cozeChatHandler|Unmarshal|039c274556c751a9861fa6dc063c6e342175865072161dd9fa1f2191e9c77119
relay/channel/coze/relay-coze.go|cozeChatHandler|Marshal|168eb97ce25654c31be502868a95131c40bf62f506fa17dca8eec1cd5263b090
relay/channel/coze/relay-coze.go|handleCozeEvent|Unmarshal|46986195906ac6b619793a91119aa284a08c45efcc069da1734e4e7973bf1a27
relay/channel/coze/relay-coze.go|handleCozeEvent|Unmarshal|ac93cdd9401220cc3b63839da7fca6a90f99e4c4756d815bf8b6921356ebbd75
relay/channel/coze/relay-coze.go|handleCozeEvent|Unmarshal|3f2ecb150024389acdffdac06618c7ba95fc5595d6b22d11b5b40c89757304aa
relay/channel/coze/relay-coze.go|handleCozeEvent|Unmarshal|5ce6ed25c133490ae1a626176b5f9981d5fa7fd487cbe8309cc649c69c2594b4
relay/channel/coze/relay-coze.go|checkIfChatComplete|Unmarshal|039c274556c751a9861fa6dc063c6e342175865072161dd9fa1f2191e9c77119
relay/channel/dify/relay-dify.go|uploadDifyFile|NewDecoder|4e62c918bd14f5107549183c31d628b8b7c5c0f6d37c3b60ee14c04233f62047
relay/channel/dify/relay-dify.go|requestOpenAI2Dify|Unmarshal|301e4e0d469fcbcb1f5fcfaf6db9a98aac7c3efbc95148406f22c7e1bb7f79eb
relay/channel/dify/relay-dify.go|difyStreamHandler|Unmarshal|c7b78d67e7541bc2dcbaca687f311c4a80640b86227ff7660fa1593679d9ccda
relay/channel/dify/relay-dify.go|difyHandler|Unmarshal|74eabd2b0f9c71436c65b6370852f7a52cd3de4d3daaf34cbd96788143caf3f2
relay/channel/dify/relay-dify.go|difyHandler|Marshal|92981973316a59184c1f9d4fdca6fe3a1045b5da6a30f89abb52b516f1849571
relay/channel/gemini/relay-gemini.go|CovertOpenAI2Gemini|Unmarshal|888638b8edf838d7d54d4204b0762fab73de4b5893d62e9c4bba1be834ab4f14
relay/channel/gemini/relay-gemini.go|CovertOpenAI2Gemini|Unmarshal|d36999d70bcadc81cf18f4c24926ab976474c0407d9c38b7568b8cd9d63dc27b
relay/channel/gemini/relay-gemini.go|CovertOpenAI2Gemini|Unmarshal|6f5d5649013dbe4f30184bde998de425878f2d44d5d11a01ab149c2811489941
relay/channel/gemini/relay-gemini.go|getResponseToolCall|Marshal|57fb75a5fe56afe87c997a44c00fa501361cb8e0561a701729fc508f2dfb1e9d
relay/channel/gemini/relay-gemini.go|GeminiImageHandler|Marshal|8cfeefa9b56a54756bb4a42b2cafed0f6ec4bfc6ec197b12aa89ab48a8aec4fd
relay/channel/jimeng/adaptor.go|*Adaptor.ConvertImageRequest|Unmarshal|c19a3d1079980c3459dd9bd7790a661904a648316f23713afd386391a4a1f930
relay/channel/jimeng/image.go|jimengImageHandler|Unmarshal|5e1d9c06ea5431ed897952c736c326d7c43f7eaa48e928805576f0ad5069bc21
relay/channel/jimeng/image.go|jimengImageHandler|Marshal|92981973316a59184c1f9d4fdca6fe3a1045b5da6a30f89abb52b516f1849571
relay/channel/jimeng/sign.go|SetPayloadHash|Marshal|556c76f2141b112391c2965ec7de57f4ac5225bcabc9df6af104fb7f1bac4a05
relay/channel/minimax/adaptor.go|*Adaptor.ConvertAudioRequest|Unmarshal|8b12a952a30d62112e9f333ce71e5113d130edeb7a32cd6295f9da04eadddab9
relay/channel/minimax/adaptor.go|*Adaptor.ConvertAudioRequest|Marshal|72d25474abe9f1d6088ac2f4b0c0d941244b899f1e21acdbe100a5287861e319
relay/channel/minimax/adaptor_test.go|TestConvertImageRequest|Marshal|f9f22be55e3cc256321948a6831e6d8f59f28dca147ab5d96d122bb05bb77b67
relay/channel/minimax/adaptor_test.go|TestConvertImageRequest|Unmarshal|fbd89e33afec938e40c3b365fc286bb279c1440145c68098c54ab715bd85b119
relay/channel/mokaai/relay-mokaai.go|mokaEmbeddingHandler|Unmarshal|6c88b37cda6b69cb880852f57074d792626b82bd771acbab3a46754f80631684
relay/channel/ollama/relay-ollama.go|openAIChatToOllamaChat|Unmarshal|cdc0ef0788af1c25be7a997463473148c1a5660910f5d793f0405b3ce78d3343
relay/channel/ollama/relay-ollama.go|openAIChatToOllamaChat|Unmarshal|07a078b20e64cb7aab1e475cef9ea2651d4a2c279ae38cdec64dd0bf01ea3083
relay/channel/ollama/relay-ollama.go|openAIToGenerate|Unmarshal|cdc0ef0788af1c25be7a997463473148c1a5660910f5d793f0405b3ce78d3343
relay/channel/ollama/relay-ollama.go|FetchOllamaVersion|Unmarshal|63a9dd239b9dc0824369644993015b931b45ec167ed8555e7d530ce84d5c8678
relay/channel/openai/adaptor.go|*Adaptor.ConvertOpenAIRequest|Unmarshal|44a1603ee0e1a8e1df85d054b5b756d4357abc38dbe367a0fb9192cab91c1e25
relay/channel/palm/relay-palm.go|palmStreamHandler|Unmarshal|9e6a91a6205bc2652fded36139425ad52ae7c49ef94ccd023817fca36089ced0
relay/channel/palm/relay-palm.go|palmStreamHandler|Marshal|92981973316a59184c1f9d4fdca6fe3a1045b5da6a30f89abb52b516f1849571
relay/channel/palm/relay-palm.go|palmHandler|Unmarshal|9e6a91a6205bc2652fded36139425ad52ae7c49ef94ccd023817fca36089ced0
relay/channel/replicate/adaptor.go|*Adaptor.ConvertImageRequest|Unmarshal|8657e632acc4f987e7c3c0aed04a081ab0b5762843f4e8a91305c1640357a714
relay/channel/siliconflow/relay-siliconflow.go|siliconflowRerankHandler|Unmarshal|09aba8238a97edabda1d5481e553802d2eeae9a5adf762c00e6c452f0d583106
relay/channel/siliconflow/relay-siliconflow.go|siliconflowRerankHandler|Marshal|7175c817a0dede230ae6b179388d06512cf9cc2c1d598aafa1b52cf3a52c7ad7
relay/channel/tencent/relay-tencent.go|tencentHandler|Unmarshal|c5c85399232311a43e2b04dcf6ab971f636d174fd3fd7a9c10168b9f3f4a9259
relay/channel/tencent/relay-tencent.go|getTencentSign|Marshal|556c76f2141b112391c2965ec7de57f4ac5225bcabc9df6af104fb7f1bac4a05
relay/channel/vertex/adaptor.go|*Adaptor.ConvertOpenAIRequest|Unmarshal|adb7d12895b84c0ef11647409a61da1141cbef0e6b761e335146ce0045cbed02
relay/channel/vertex/service_account.go|exchangeJwtForAccessToken|NewDecoder|4e62c918bd14f5107549183c31d628b8b7c5c0f6d37c3b60ee14c04233f62047
relay/channel/vertex/service_account.go|exchangeJwtForAccessTokenWithProxy|NewDecoder|4e62c918bd14f5107549183c31d628b8b7c5c0f6d37c3b60ee14c04233f62047
relay/channel/volcengine/adaptor.go|*Adaptor.ConvertAudioRequest|Unmarshal|21d62956ab82cf6356638ba2e98ab21e8970ef3fec36d51a2362ea78b972e685
relay/channel/volcengine/adaptor.go|*Adaptor.ConvertAudioRequest|Marshal|6df4bc98beb165214f3179900a7dc69f4c1aaa89816f2699cf59ee2bd83ef3d2
relay/channel/volcengine/tts.go|handleTTSResponse|Unmarshal|1c19ee75effdb9440195e572a78088232532eacc7938c6bf68a28030b8265b5f
relay/channel/volcengine/tts.go|handleTTSWebSocketResponse|Marshal|6df4bc98beb165214f3179900a7dc69f4c1aaa89816f2699cf59ee2bd83ef3d2
relay/channel/xunfei/relay-xunfei.go|xunfeiStreamHandler|Marshal|168eb97ce25654c31be502868a95131c40bf62f506fa17dca8eec1cd5263b090
relay/channel/xunfei/relay-xunfei.go|xunfeiHandler|Marshal|168eb97ce25654c31be502868a95131c40bf62f506fa17dca8eec1cd5263b090
relay/channel/xunfei/relay-xunfei.go|xunfeiMakeRequest|Unmarshal|d2d86b3177f2d5720b8dc29e1ae601a20d37184045670a165bd9bbec01237187
relay/channel/zhipu/relay-zhipu.go|zhipuStreamHandler|Marshal|168eb97ce25654c31be502868a95131c40bf62f506fa17dca8eec1cd5263b090
relay/channel/zhipu/relay-zhipu.go|zhipuStreamHandler|Unmarshal|d6c2892f24d52e3e062e3eb924a5a5e290199f1238c21310625defc58a4d1cdf
relay/channel/zhipu/relay-zhipu.go|zhipuStreamHandler|Marshal|168eb97ce25654c31be502868a95131c40bf62f506fa17dca8eec1cd5263b090
relay/channel/zhipu/relay-zhipu.go|zhipuHandler|Unmarshal|ecfb8a328f2c468cfb19c2ffc8ca3cc558b08d1dc290b0fcf5d5c4c503de0a75
relay/channel/zhipu/relay-zhipu.go|zhipuHandler|Marshal|92981973316a59184c1f9d4fdca6fe3a1045b5da6a30f89abb52b516f1849571
relay/common/override_test.go|TestApplyParamOverrideDelete|Unmarshal|692246112d039d019f6ed42cbf2362d484af719d1b9abec92686330698a56345
relay/common/override_test.go|TestApplyParamOverrideSetWildcardPath|Unmarshal|692246112d039d019f6ed42cbf2362d484af719d1b9abec92686330698a56345
relay/common/override_test.go|TestApplyParamOverrideTrimSpaceWildcardPath|Unmarshal|692246112d039d019f6ed42cbf2362d484af719d1b9abec92686330698a56345
relay/common/override_test.go|TestApplyParamOverrideSetWildcardKeepOrigin|Unmarshal|692246112d039d019f6ed42cbf2362d484af719d1b9abec92686330698a56345
relay/common/override_test.go|TestApplyParamOverrideTrimSpaceMultiWildcardPath|Unmarshal|692246112d039d019f6ed42cbf2362d484af719d1b9abec92686330698a56345
relay/common/override_test.go|assertJSONEqual|Unmarshal|1b6e8a2882cd33079a79d74aeb366ef371ac02cbffa6d90f82ab6027c4e989bd
relay/common/override_test.go|assertJSONEqual|Unmarshal|444da0b2c667f90adf285fc754ed502890312ce4837a5ec13c0ffbfb5aaa77bb
relay/helper/model_mapped.go|ModelMappedHelper|Unmarshal|397c955a41ac41e35fdf6469fe18566e192cf9a0762e2594fba342148e25e7b7
relay/mjproxy_handler.go|RelayMidjourneyNotify|Marshal|9a70f351fbab5e1ed0c3573dec3f415740d755011757d03854eeceb0e1fe4ec8
relay/mjproxy_handler.go|coverMidjourneyTaskDto|Unmarshal|24c991800ec0e31d5fecaa9b39cac52f390648fd382d3fa569328aaa9b8d5ce9
relay/mjproxy_handler.go|coverMidjourneyTaskDto|Unmarshal|e9a7e8d8a2e85745ba88c5778c78e9e3780131045371f89e3e4271ad9757fcf6
relay/mjproxy_handler.go|coverMidjourneyTaskDto|Unmarshal|a5f4f149ec0cf55ed8663e19972391150e8e718c9fa66d38ffc0eb73d31172c4
relay/mjproxy_handler.go|RelaySwapFace|Marshal|43f556717f85f280992d3a2d0008565d6ddbdba5994fdce3edcd08c6a91dc320
relay/mjproxy_handler.go|RelayMidjourneyTaskImageSeed|Marshal|43f556717f85f280992d3a2d0008565d6ddbdba5994fdce3edcd08c6a91dc320
relay/mjproxy_handler.go|RelayMidjourneyTask|Marshal|a06ef6dffc8c25d4f764f6e368c1b7519640fbe49986e4072b764c3a82d19dc0
relay/mjproxy_handler.go|RelayMidjourneyTask|Marshal|8b291e884ff2bd4bdff251dcb055060790f313706be033cae508d75859f79cac
service/codex_oauth.go|decodeJWTClaims|Unmarshal|7ca24118dbcd41c0feb7b0767369b64fadf9b9a4b1bcb1e62d1ec99b54f487d0
service/midjourney.go|DoMidjourneyHttpRequest|NewDecoder|dc2d92e0dd4c66591ccceefe086dca58c0af182c9e2c61f92c80cda6833d2f9a
service/midjourney.go|DoMidjourneyHttpRequest|Marshal|af957403b76886439ffd61be2eec9cef5f0fd1f3c0b8201b7a5e9565234b44ce
service/midjourney.go|DoMidjourneyHttpRequest|Unmarshal|a15ce743bd5d73944713700514fe95dfe90f903ea83e6508c1d05f916dae3d35
service/midjourney.go|DoMidjourneyHttpRequest|Unmarshal|b2bd81a114cb2619945fabb0351b230f06b5787f7ac39f2c3009db9ad53a84d8
service/passkey/session.go|SaveSessionData|Marshal|5b9b772fb88d846779cb56c7c4ca8852b09c2b90d1e5ae47e5e29386bd45a06e
service/passkey/session.go|PopSessionData|Unmarshal|337d2d0489c6f4c2daf3edbb46ea8101d8b9b64a46fce59768dbc2aaacf048f6
service/passkey/session.go|PopSessionData|Unmarshal|f2cd8d698a8b3baee9426fd333d1a8ef6eae1c2f3c53939906d9181818b00c76
service/user_notify.go|sendGotifyNotify|Marshal|2af017bb4f8b2b336f7069e3a6f219c0fb04cddbcb36aea984cee19b0af05e40
setting/chat.go|UpdateChatsByJsonString|Unmarshal|9b652f37646cc5b0c6883ad42cfa81aa57bf3ae9ed3f64bf59c0ca4e9024983e
setting/chat.go|Chats2JsonString|Marshal|6d15cc12f47b577c984fd31bbc9ca3e9bbb3702d28b79ac76d58e9aa32e79fdc
setting/console_setting/validation.go|parseJSONArray|Unmarshal|403028caafc69490779d75b66909a63579743ae6b77481ab45fba2b65aa34805
